"ATRIA-X Audit Evidence Packet"
"Generated","2026-08-18T04:08:58.433Z"
"Period","2026-05-20 to 2026-08-18"

"Agency Information"
"Name","Diego's Agency"
"EIN","12-3456789"
"Address","750 N CAPITOL AVE, STE A3, SAN JOSE, CA 95133"
"Branches","ILS - Independent Living Services; SLS - Supported Living Services"

"Agency Obligations"
"Obligation","Due","Completed","Status"
"General liability insurance certificate","2026-08-28","","Current"
"Commercial auto insurance certificate","2027-08-18","","Current"
"Independent CPA audit or review (WIC §4652.5)","2027-08-18","","Current"
"Conflict-of-interest statements","2027-08-18","","Current"
"Whistleblower-protection policy acknowledgement","2027-08-18","","Current"
"Approved program design review","2027-08-18","","Current"
"Workers' compensation insurance certificate","2027-08-18","2026-08-18","Current"
"DS 1891 applicant/vendor disclosure statement","2028-08-18","","Current"
"DS 1896 HCBS Provider Agreement","2028-08-18","","Current"

"Personnel Roster"
"Name","Credential Status","Missing Credentials","Expired Credentials","Overridden Credentials"
"Hugo Sanchez","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Juan Carlos Osorio","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Serena Williams","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Lionel Messi","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Mikel Merino","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Elvis Presley","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Jayne Pool","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Carlos Vives","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Carlos Vela","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Julian Quinones","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Fabian Ruiz","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Borja Iglesias","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Thierry Henry","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Zinedine Zidane","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Nico Williams","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"E2E Coordinator","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Antonio Valencia","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Rafael Marquez","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Marco Fabian","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Nicolas Nemeth","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Mo Salah","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"James Rodriguez","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Arturo Vidal","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Luis Romo","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Orbelin Pineda","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Cesar Montes","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Mateo Chavez","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Jesus Gallardo","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Guillermo Ochoa","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Jesus Corona","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Moises Munoz","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Diego Molina","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Peter Parker","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""
"Barack Obama","Action Needed","Live Scan background clearance; CPR & First Aid certification; TB screening; Mandated reporter training; Zero-tolerance policy training; HIPAA / confidentiality training; Special Incident Reporting training; Photo identification","",""

"Training Matrix"
"Employee","Training","Status","Completed At","Expires At"
"E2E Caregiver","platform_training","completed","2026-07-23T17:13:49.815Z",""
"Juan Carlos Osorio","welcome","complete","2026-07-10T02:29:31.171Z",""
"Juan Carlos Osorio","shifts","complete","2026-07-10T02:29:53.554Z",""
"Juan Carlos Osorio","documentation","complete","2026-07-10T02:30:16.173Z",""
"Juan Carlos Osorio","compliance","complete","2026-07-10T02:30:39.074Z",""
"Juan Carlos Osorio","help","complete","2026-07-10T02:31:08.451Z",""
"Serena Williams","welcome","complete","2026-07-13T00:43:42.873Z",""
"Serena Williams","shifts","complete","2026-07-13T00:44:04.652Z",""
"Serena Williams","documentation","complete","2026-07-13T00:44:26.620Z",""
"Serena Williams","compliance","complete","2026-07-13T00:44:48.604Z",""
"Serena Williams","help","complete","2026-07-13T00:45:10.042Z",""
"Lionel Messi","welcome","complete","2026-07-14T00:55:55.916Z",""
"Lionel Messi","shifts","complete","2026-07-14T00:56:17.422Z",""
"Lionel Messi","documentation","complete","2026-07-14T00:56:40.084Z",""
"Lionel Messi","compliance","complete","2026-07-14T00:57:15.579Z",""
"Lionel Messi","help","complete","2026-07-14T01:00:57.964Z",""
"Mikel Merino","welcome","complete","2026-07-15T22:02:45.254Z",""
"Mikel Merino","org_structure","complete","2026-07-15T22:03:24.783Z",""
"Mikel Merino","role_of_staff","complete","2026-07-15T22:03:56.047Z",""
"Mikel Merino","consumer_rights","complete","2026-07-15T22:04:41.731Z",""
"Mikel Merino","policies_conduct","complete","2026-07-15T22:05:23.440Z",""
"Mikel Merino","medication_procedures","complete","2026-07-15T22:06:02.025Z",""
"Mikel Merino","emergency_procedures","complete","2026-07-15T22:06:48.468Z",""
"Mikel Merino","quiz","complete","2026-07-15T22:09:49.081Z",""
"Elvis Presley","welcome","complete","2026-07-16T00:48:02.825Z",""
"Elvis Presley","org_structure","complete","2026-07-16T01:31:56.539Z",""
"Elvis Presley","role_of_staff","complete","2026-07-16T01:32:14.754Z",""
"Elvis Presley","consumer_rights","complete","2026-07-16T01:32:27.649Z",""
"Elvis Presley","policies_conduct","complete","2026-07-16T01:32:40.564Z",""
"Elvis Presley","medication_procedures","complete","2026-07-16T01:32:51.337Z",""
"Elvis Presley","emergency_procedures","complete","2026-07-16T01:33:10.350Z",""
"Elvis Presley","clockin_flow","complete","2026-07-16T01:33:47.493Z",""
"Elvis Presley","quiz","complete","2026-07-16T01:36:19.375Z",""
"Jayne Pool","welcome","complete","2026-07-16T01:54:25.279Z",""
"Jayne Pool","org_structure","complete","2026-07-16T01:54:37.179Z",""
"Jayne Pool","role_of_staff","complete","2026-07-16T01:54:49.363Z",""
"Jayne Pool","consumer_rights","complete","2026-07-16T01:55:00.466Z",""
